ticker,name,short_name,hq_address,hq_address2,hq_city,hq_state,hq_zip,hq_country,phone,website,sector,industry,market_cap,enterprise_value,employees,currency,exchange,pe_ratio,forward_pe,dividend_yield,beta,52_week_high,52_week_low,business_summary
ISRA,VanEck Israel ETF,VanEck Israel ETF,,,,,,,888-658-8287,,,,0,0,0,USD,PCX,14.445331,0.0,1.0,0.0,53.84,37.03,"The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index is comprised of equity securities, which may include depositary receipts, of publicly traded companies that are generally considered by MV Index Solutions GmbH to be Israeli companies. It may also utilize depositary receipts to seek performance that corresponds to the fund's benchmark index. The fund is non-diversified."
FRDM,Freedom 100 Emerging Markets ETF,Freedom 100 Emerging Markets ET,,,,,,,,,,,0,0,0,USD,BTS,13.579084,0.0,2.4,0.0,44.08,30.68,"Under normal circumstances, at least 80% of the fund's total assets (exclusive of collateral held from securities lending) will be invested in the component securities of the index or in depositary receipts representing such component securities. The index is designed to track the performance of a portfolio of approximately 100 equity securities in emerging market countries."
RSX,VanEck Russia ETF,VanEck Russia ETF,,,,,,,888-658-8287,,,,0,0,0,USD,BTS,4.3129773,0.0,0.0,0.0,5.65,5.6187,"The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index includes securities, which may include depositary receipts, of Russian companies. A company is generally considered to be a Russian company if it is incorporated in Russia or is incorporated outside of Russia but has at least 50% of its revenues/related assets in Russia. Such companies may include medium-capitalization companies. It is non-diversified."
ERUS,iShares MSCI Russia ETF,iShares MSCI iShares MSCI Russi,,,,,,,,,,,133796008,0,0,USD,PCX,0.0,0.0,595.28,0.0,10.48,7.12,The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is a free float-adjusted market capitalization-weighted index that is designed to measure the performance of the large- and mid-capitalization segments of the Russian equity market. The fund is non-diversified.
SHE,SPDR MSCI USA Gender Diversity ETF,SPDR MSCI USA Gender Diversity ,,,,,,,,,,,0,0,0,USD,PCX,24.824444,0.0,1.16,0.0,126.779,98.95,"Under normal market conditions, the fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. In addition, it may invest in equity securities that are not included in the index, cash and cash equivalents or money market instruments."
LGBT,LGBTQ100 ESG ETF,LGBTQ + ESG100 ETF,,,,,,,NA,,,,0,0,0,USD,NGM,0.0,0.0,0.0,0.0,26.66,26.58,"Normally, the fund seeks to achieve its investment objective by investing at least 80% of its net assets in components of the underlying index. The index is comprised of securities screened to support LGBTQ or ESG positions. It also may invest up to 20% of its assets in instruments other than the components of the index, including shares of other investment companies, cash and cash equivalents, as well as in securities not included in the index, but which the adviser believes will help the fund "
VETS,Pacer Military Times Best Employers ETF,Pacer Military Times Best Emplo,,,,,,,800-617-0004,,,,0,0,0,USD,NMS,0.0,0.0,1.24,0.0,40.42,29.37,"The investment seeks to track the total return performance, before fees and expenses, of the Military Times Best for VetsSM Index (the ""index"").
 Normally at least 80% of the fund&#39;s total assets (exclusive of collateral held from securities lending) will be invested in the component securities of the index in the same approximate weight as such component securities. The index is generally composed of the U.S.-listed stocks of companies that have been included in the Best for Vets List for th"
SPY,SPDR S&P 500 ETF,SPDR S&P 500,,,,,,,,,,,603359019008,0,0,USD,PCX,27.769173,0.0,1.11,0.0,659.11,481.8,"The trust seeks to achieve its investment objective by holding a portfolio of the common stocks that are included in the index, with the weight of each stock in the portfolio substantially corresponding to the weight of such stock in the index."
QQQ,Invesco QQQ Trust,"Invesco QQQ Trust, Series 1",,,,,,,,,,,230616039424,0,0,USD,NGM,33.782974,0.0,0.49,0.0,587.86,402.39,"To maintain the correspondence between the composition and weights of the securities in the trust (the ""securities"") and the stocks in the NASDAQ-100 Index®, the adviser adjusts the securities from time to time to conform to periodic changes in the identity and/or relative weights of index securities. The composition and weighting of the securities portion of a portfolio deposit are also adjusted to conform to changes in the index."
IWM,iShares Russell 2000 ETF,iShares Russell 2000 ETF,,,,,,,1-800-474-2737,,,,66985451520,0,0,USD,PCX,18.344894,0.0,1.06,0.0,244.98,171.73,"The fund generally invests at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index (i.e., depositary receipts representing securities of the underlying index) and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents."
DIA,SPDR Dow Jones Industrial Average ETF Trust,SPDR Dow Jones Industrial Avera,,,,,,,866.787.2257,,,,37316489216,0,0,USD,PCX,23.062124,0.0,1.46,0.0,462.32,366.32,"The Trust’s Portfolio consists of substantially all of the component common stocks that comprise the DJIA, which are weighted in accordance with the terms of the Trust Agreement."
XLK,The Technology Select Sector SPDR Fund,SPDR Select Sector Fund - Techn,,,,,,,,,,,73694527488,0,0,USD,PCX,38.53488,0.0,0.59,0.0,272.23,172.45,"In seeking to track the performance of the index, the fund employs a replication strategy, which means that the fund typically invests in substantially all of the securities represented in the index in approximately the same proportions as the index. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The fund is non-diversified."
XLV,The Health Care Select Sector SPDR Fund,SPDR Select Sector Fund - Healt,,,,,,,,,,,27264987136,0,0,USD,PCX,24.159615,0.0,1.74,0.0,157.59,127.35,"In seeking to track the performance of the index, the fund employs a replication strategy. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies from the following industries: pharmaceuticals; health care equipment & supplies; health care providers & services; biotechnology; life sciences tools & services; and health care technology. The fund is non-diversified."
XLF,The Financial Select Sector SPDR Fund,SPDR Select Sector Fund - Finan,,,,,,,,,,,47529340928,0,0,USD,PCX,19.504196,0.0,1.34,0.0,54.25,42.21,"The fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Financial companies by the Global Industry Classification Standard, including securities of companies from the following industries: financial services; insurance; banks; capital markets; mortgage real estate investment trusts; and consumer finance. The fund is non-diversified."
XLY,The Consumer Discretionary Select Sector SPDR Fund,SPDR Select Sector Fund - Consu,,,,,,,,,,,28695973888,0,0,USD,PCX,30.7144,0.0,0.79,0.0,240.28,173.1,"The Advisor employs a replication strategy. The fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Consumer Discretionary companies by the Global Industry Classification Standard (GICS®). It is non-diversified."
XLP,The Consumer Staples Select Sector SPDR Fund,SPDR Select Sector Fund - Consu,,,,,,,,,,,16881014784,0,0,USD,PCX,22.899282,0.0,2.49,0.0,84.53,75.61,"In seeking to track the performance of the index, the fund employs a replication strategy. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Consumer Staples companies by the GICS®. It is non-diversified."
XLI,The Industrial Select Sector SPDR Fund,SPDR Select Sector Fund - Indus,,,,,,,,,,,20709769216,0,0,USD,PCX,26.427593,0.0,1.27,0.0,155.15,112.75,"Under normal market conditions, the fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Industrial companies by the Global Industry Classification Standard, including securities of companies from the following industries: aerospace and defense; industrial conglomerates; marine transportation. It is non-diversified."
XLE,The Energy Select Sector SPDR Fund,SPDR Select Sector Fund - Energ,,,,,,,,,,,16517166080,0,0,USD,PCX,17.099312,0.0,3.17,0.0,97.92,74.49,"In seeking to track the performance of the index, the fund employs a replication strategy. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Energy companies by the GICS®, including securities of companies from the following industries: oil, gas and consumable fuels; and energy equipment and services. It is non-diversified."
XLU,The Utilities Select Sector SPDR Fund,SPDR Select Sector Fund - Utili,,,,,,,,,,,13959926784,0,0,USD,PCX,21.6545,0.0,2.7,0.0,87.67,71.02,"In seeking to track the performance of the index, the fund employs a replication strategy. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes securities of companies from the following industries: electric utilities; water utilities; multi-utilities; independent power and renewable electricity producers; and gas utilities. The fund is non-diversified."
XLB,The Materials Select Sector SPDR Fund,Materials Select Sector SPDR,,,,,,,,,,,6593964544,0,0,USD,PCX,27.208315,0.0,1.85,0.0,97.87,73.12,"In seeking to track the performance of the index, the fund employs a replication strategy. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes securities of companies from the following industries: chemicals; metals and mining; paper and forest products; containers and packaging; and construction materials. The fund is non-diversified."
XLC,The Communication Services Select Sector SPDR ETF Fund,The Communication Services Sele,,,,,,,,,,,0,0,0,USD,PCX,19.780045,0.0,0.95,0.0,117.59,84.02,"Normally, the fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Communication Services companies by the GICS®, including securities of companies from the following industries: diversified telecommunication services; wireless telecommunication services; media; entertainment; and interactive media & services. The fund is non-diversified."
XLRE,The Real Estate Select Sector SPDR Fund,Real Estate Select Sector SPDR ,,,,,,,,,,,0,0,0,USD,PCX,35.128014,0.0,3.27,0.0,45.58,35.76,"Under normal market conditions, the fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Real Estate companies by the Global Industry Classification Standard (GICS®). The fund is non-diversified."
IBB,iShares Biotechnology ETF,iShares Biotechnology ETF,,,,,,,1-800-474-2737,,,,9826306048,0,0,USD,NGM,20.741238,0.0,0.28,0.0,150.57,107.43,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. It is non-diversified."
KBE,SPDR S&P Bank ETF,SPDR S&P Bank ETF,,,,,,,,,,,0,0,0,USD,PCX,13.161209,0.0,2.3,0.0,63.74,44.34,"The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the banks segment of the S&P Total Market Index (“S&P TMI”). The S&P TMI is designed to track the broad U.S. equity market. It may invest in equity securities that are not included in the index, cash and cash equivalents or money market instruments, such as repurchase agreements and money market funds."
KRE,SPDR S&P Regional Banking ETF,SPDR S&P Regional Banking ETF,,,,,,,,,,,0,0,0,USD,PCX,13.569843,0.0,2.39,0.0,70.25,47.06,"In seeking to track the performance of the S&P Regional Banks Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the regional banks segment of the S&P Total Market Index (""S&P TMI"")."
IYT,iShares Transportation Average ETF,iShares Trust iShares U.S. Tran,,,,,,,1-800-474-2737,,,,198072000,0,0,USD,BTS,17.027756,0.0,1.06,0.0,75.59,54.02,The fund generally will invest at least 80% of its assets in the component securities of its underlying index. The underlying index measures the performance of companies within the transportation sector of the U.S. equity market as determined by S&P Dow Jones Indices LLC. The fund is non-diversified.
ITB,iShares U.S. Home Construction ETF,iShares U.S. Home Construction ,,,,,,,1-800-474-2737,,,,0,0,0,USD,BTS,14.560035,0.0,1.4,0.0,129.89,82.71,"The index measures the performance of the home construction sector of the U.S. equity market, as defined by the index provider. The fund generally will invest at least 80% of its assets in the component securities of its underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. It is non-diversified."
AMD,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.",2485 Augustine Drive,,Santa Clara,CA,95054,United States,408 749 4000,https://www.amd.com,Technology,Semiconductors,257333755904,255353323520,28000,USD,NMS,95.5241,31.09216,0.0,1.916,186.65,76.48,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. It operates in three segments: Data Center, Client and Gaming, and Embedded. The company offers artificial intelligence (AI) accelerators, x86 microprocessors, and graphics processing units (GPUs) as standalone devices or as incorporated into accelerated processing units, chipsets, and data center and professional GPUs; and embedded processors and semi-custom system-on-chip (SoC) products, microprocessor and SoC developm"
AVGO,Broadcom Inc.,Broadcom Inc.,3421 Hillview Ave,,Palo Alto,CA,94304,United States,650 427 6000,https://www.broadcom.com,Technology,Semiconductors,1699435642880,177285562368,37000,USD,NMS,92.511566,58.325768,0.66,1.172,374.23,138.1,"Broadcom Inc. designs, develops, and supplies various semiconductor devices and infrastructure software solutions worldwide. The company operates in two segments, Semiconductor Solutions and Infrastructure Software. It provides Ethernet switching and routing custom silicon solutions, optical and copper physical layer devices, and fiber optic transmitter and receiver components; set-top box system-on-chips (SoCs), data over cable service interface specifications cable modem and networking infrast"
ASML,ASML Holding N.V.,ASML Holding N.V. - New York Re,De Run 6501,,Veldhoven,,5504 DR,Netherlands,31 40 268 3938,https://www.asml.com,Technology,Semiconductor Equipment & Materials,320013697024,311743250432,43193,USD,NMS,28.901634,30.482021,0.91,1.249,873.65,578.51,"ASML Holding N.V. provides lithography solutions for the development, production, marketing, sales, upgrading, and servicing of advanced semiconductor equipment systems. It offers lithography, metrology, and inspection systems. The company also provides extreme ultraviolet lithography systems; and deep ultraviolet lithography systems comprising immersion and dry lithography systems solutions to manufacture various range of semiconductor nodes and technologies. In addition, it offers metrology an"
TSM,Taiwan Semiconductor Manufacturing Company Limited,Taiwan Semiconductor Manufactur,Hsinchu Science Park,"No. 8, Li-Hsin Road 6",Hsinchu City,,300096,Taiwan,886 3 563 6688,https://www.tsmc.com,Technology,Semiconductors,1345020231680,5140974665728,83825,USD,NYQ,28.157436,32.095295,1.29,1.199,264.58,134.25,"Taiwan Semiconductor Manufacturing Company Limited, together with its subsidiaries, manufactures, packages, tests, and sells integrated circuits and other semiconductor devices in Taiwan, China, Europe, the Middle East, Africa, Japan, the United States, and internationally. It provides various wafer fabrication processes, such as processes to manufacture complementary metal- oxide-semiconductor (CMOS) logic, mixed-signal, radio frequency, embedded memory, bipolar CMOS mixed-signal, and others. T"
ANET,Arista Networks Inc,"Arista Networks, Inc.",5453 Great America Parkway,,Santa Clara,CA,95054,United States,408 547 5500,https://www.arista.com,Technology,Computer Hardware,175195111424,166350061568,4412,USD,NYQ,54.662746,14.325797,0.0,1.496,156.32,59.43,"Arista Networks Inc engages in the development, marketing, and sale of data-driven, client to cloud networking solutions for AI, data center, campus, and routing environments in the Americas, Europe, the Middle East, Africa, and the Asia-Pacific. Its cloud networking solutions consist of Extensible Operating System (EOS), a publish-subscribe state-sharing networking operating system offered in combination with a set of network applications. The company offers data center, cloud and AI networking"
SMCI,"Super Micro Computer, Inc.","Super Micro Computer, Inc.",980 Rock Avenue,,San Jose,CA,95131,United States,408 503 8000,https://www.supermicro.com,Technology,Computer Hardware,26742286336,26625536000,6238,USD,NMS,26.785715,10.613208,0.0,1.553,66.44,17.25,"Super Micro Computer, Inc., together with its subsidiaries, develops and sells server and storage solutions based on modular and open-standard architecture in the United States, Asia, Europe, and internationally. The company offers liquid and air-cooled AI servers for training and inferencing with integrated graphics processing units (GPUs) or PCIe based architectures; SuperBlade, MicroBlade, FlexTwin, GrandTwin, and BigTwin blade and multi-node systems; SuperStorage systems; Hyper, CloudDC, and"
NOC,Northrop Grumman Corporation,Northrop Grumman Corporation,2980 Fairview Park Drive,,Falls Church,VA,22042,United States,703 280 2900,https://www.northropgrumman.com,Industrials,Aerospace & Defense,82467684352,98654666752,97000,USD,NYQ,21.229637,20.526016,1.6,0.131,600.99,426.24,"Northrop Grumman Corporation operates as an aerospace and defense technology company in the United States, the Asia/Pacific, Europe, and internationally. The company's Aeronautics Systems segment designs, develops, manufactures, integrates, sustains, and modernizes aircraft systems. This segment also offers unmanned autonomous aircraft systems, including high-altitude long-endurance strategic, and surveillance and reconnaissance systems; and strategic long-range strike aircraft, tactical fighter"
RTX,RTX Corporation,RTX Corporation,1000 Wilson Boulevard,,Arlington,VA,22209,United States,781 522 3000,https://www.rtx.com,Industrials,Aerospace & Defense,208611475456,249273745408,186000,USD,NYQ,34.252747,25.507366,1.75,0.662,161.26,112.27,"RTX Corporation, an aerospace and defense company, provides systems and services for the commercial, military, and government customers in the United States and internationally. It operates through three segments: Collins Aerospace, Pratt & Whitney, and Raytheon. The Collins Aerospace Systems segment offers aerospace and defense products, and aftermarket service solutions for civil and military aircraft manufacturers and commercial airlines, as well as regional, business, and general aviation, d"
GD,General Dynamics Corporation,General Dynamics Corporation,11011 Sunset Hills Road,,Reston,VA,20190,United States,703 876 3000,https://www.gd.com,Industrials,Aerospace & Defense,87732060160,96696279040,117000,USD,NYQ,21.87458,20.282959,1.84,0.506,330.18,239.2,"General Dynamics Corporation operates as an aerospace and defense company worldwide. It operates through four segments: Aerospace, Marine Systems, Combat Systems, and Technologies. The Aerospace segment produces and sells business jets; and offers aircraft maintenance and repair, management, aircraft-on-ground support and completion, charter, staffing, and fixed-base operator services. The Marine Systems segment designs and builds nuclear-powered submarines, surface combatants, and auxiliary shi"
HII,"Huntington Ingalls Industries, Inc.","Huntington Ingalls Industries, ",4101 Washington Avenue,,Newport News,VA,23607,United States,757 380 2000,https://www.hii.com,Industrials,Aerospace & Defense,10779785216,13345794048,44000,USD,NYQ,20.53139,17.51977,1.97,0.391,293.14,158.88,"Huntington Ingalls Industries, Inc. designs, builds, overhauls, and repairs military ships in the United States. It operates through three segments: Ingalls, Newport News, and Mission Technologies. The company is involved in the design and construction of non-nuclear ships comprising amphibious assault ships; expeditionary warfare ships; surface combatants; and national security cutters for the U.S. Navy and U.S. Coast Guard. It also provides nuclear-powered ships, such as aircraft carriers and "
PLTR,Palantir Technologies Inc.,Palantir Technologies Inc.,1200 17th Street,Floor 15,Denver,CO,80202,United States,720 358 3679,https://www.palantir.com,Technology,Software - Infrastructure,406690234368,401024712704,4164,USD,NMS,591.13794,364.74466,0.0,2.592,190.0,35.56,"Palantir Technologies Inc. builds and deploys software platforms for the intelligence community to assist in counterterrorism investigations and operations in the United States, the United Kingdom, and internationally. It provides Palantir Gotham, a software platform, which enables users to identify patterns hidden deep within datasets, ranging from signals intelligence sources to reports from confidential informants, as well as facilitates the hand-off between analysts and operational users, he"
PANW,"Palo Alto Networks, Inc.","Palo Alto Networks, Inc.",3000 Tannery Way,,Santa Clara,CA,95054,United States,408 753 4000,https://www.paloaltonetworks.com,Technology,Software - Infrastructure,131298369536,128812580864,16068,USD,NMS,121.91925,27.262499,0.0,0.984,210.39,144.15,"Palo Alto Networks, Inc. provides cybersecurity solutions the Americas, Europe, the Middle East, Africa, the Asia Pacific, and Japan. It offers Prisma Access, a secure access service edge solution; Strata Cloud Manager, a network security management solution; and Prisma AIRS to protect customers' entire AI ecosystem. It provides a comprehensive cloud native application protection platform; and Code to Cloud platform, as well as offers VM-Series and CN-Series virtual firewalls for inline network "
CRWD,"CrowdStrike Holdings, Inc.","CrowdStrike Holdings, Inc.",206 East 9th Street,Suite 1400,Austin,TX,78701,United States,888 512 8906,https://www.crowdstrike.com,Technology,Software - Infrastructure,109441482752,105317638144,10047,USD,NMS,0.0,102.13115,0.0,1.12,517.98,259.35,"CrowdStrike Holdings, Inc. provides cybersecurity solutions in the United States and internationally. Its unified platform provides cloud-delivered protection of endpoints, cloud workloads, identity, and data through a software as a service (SaaS) subscription-based model. The company offers corporate endpoint and cloud workload security, managed security, security and vulnerability management, IT operations management, identity protection, threat intelligence, data protection, SaaS security pos"
PWR,"Quanta Services, Inc.","Quanta Services, Inc.",2727 North Loop West,,Houston,TX,77008,United States,713 629 7600,https://www.quantaservices.com,Industrials,Engineering & Construction,56999264256,61608345600,58400,USD,NYQ,59.215168,37.650593,0.1,1.013,424.94,227.08,"Quanta Services, Inc. offers infrastructure solutions for the electric and gas utility, renewable energy, communications, pipeline, and energy industries in the United States, Canada, Australia, and internationally. The company's Electric Power Infrastructure Solutions segment engages in the design, procurement, construction, upgrade, repair, and maintenance of electric power transmission and distribution infrastructure and substation facilities; installation, maintenance, and upgrade of electri"
VST,Vistra Corp.,Vistra Corp.,6555 Sierra Drive,,Irving,TX,75039,United States,214 812 4600,https://vistracorp.com,Utilities,Utilities - Independent Power Producers,71050551296,91135623168,6850,USD,NYQ,33.65971,30.391304,0.43,1.348,216.85,84.92,"Vistra Corp., together with its subsidiaries, operates as an integrated retail electricity and power generation company in the United States. It operates through five segments: Retail, Texas, East, West, and Asset Closure. The company retails electricity and natural gas to residential, commercial, and industrial customers across states in the United States and the District of Columbia. It also involved in the electricity generation, wholesale energy purchases and sales, commodity risk management"
DUK,Duke Energy Corporation,Duke Energy Corporation (Holdin,525 South Tryon Street,,Charlotte,NC,28202,United States,800 488 3853,https://www.duke-energy.com,Utilities,Utilities - Regulated Electric,94831247360,185052299264,26413,USD,NYQ,19.959082,19.235014,3.49,0.378,127.85,105.2,"Duke Energy Corporation, through its subsidiaries, operates as an energy company in the United States. It operates through two segments: Electric Utilities and Infrastructure (EU&I); and Gas Utilities and Infrastructure (GU&I). The EU&I segment generates, transmits, distributes, and sells electricity to approximately 8.6 million customers in the Southeast and Midwest regions. It generates electricity through coal, hydroelectric, natural gas, oil, renewables, and nuclear fuel. This segment also e"
AMAT,"Applied Materials, Inc.","Applied Materials, Inc.",3050 Bowers Avenue,P.O. Box 58039,Santa Clara,CA,95052-8039,United States,408 727 5555,https://www.appliedmaterials.com,Technology,Semiconductor Equipment & Materials,133676523520,133424603136,36100,USD,NMS,20.04779,17.316822,1.1,1.762,215.7,123.74,"Applied Materials, Inc. engages in the provision of manufacturing equipment, services, and software to the semiconductor, display, and related industries. The company operates through three segments: Semiconductor Systems, Applied Global Services, and Display. The Semiconductor Systems segment develops, manufactures, and sells semiconductor capital equipment that is used to fabricate semiconductor chips or integrated circuits. The Applied Global Services segment provides integrated solutions to "
LRCX,Lam Research Corporation,Lam Research Corporation,4650 Cushing Parkway,,Fremont,CA,94538,United States,510 572 0200,https://www.lamresearch.com,Technology,Semiconductor Equipment & Materials,148026916864,146392924160,19000,USD,NMS,28.183132,27.3911,0.89,1.77,117.5,56.32,"Lam Research Corporation designs, manufactures, markets, refurbishes, and services semiconductor processing equipment used in the fabrication of integrated circuits in the United States, China, Korea, Taiwan, Japan, Southeast Asia, and Europe. The company offers ALTUS systems to deposit conformal or selective films for tungsten or molybdenum metallization applications; SABRE electrochemical deposition products for copper interconnect transition that offers copper damascene manufacturing; SPEED g"
KLAC,KLA Corporation,KLA Corporation,One Technology Drive,,Milpitas,CA,95035,United States,408 875 3000,https://www.kla.com,Technology,Semiconductor Equipment & Materials,127213043712,128807059456,15000,USD,NMS,31.742508,29.372944,0.79,1.469,968.09,551.33,"KLA Corporation, together with its subsidiaries, designs, manufactures, and markets process control, process-enabling, and yield management solutions for the semiconductor and related electronics industries worldwide. The company operates through three segments: Semiconductor Process Control; Specialty Semiconductor Process; and PCB and Component Inspection. It offers inspection and review tools to identify, locate, characterize, review, and analyze defects on various surfaces of patterned and u"
NFLX,"Netflix, Inc.","Netflix, Inc.",121 Albright Way,,Los Gatos,CA,95032,United States,(408) 540-3700,https://www.netflix.com,Communication Services,Entertainment,504999051264,513542914048,14000,USD,NMS,50.76634,49.976448,0.0,1.605,1341.15,677.88,"Netflix, Inc. provides entertainment services. The company offers television (TV) series, documentaries, feature films, and games across various genres and languages. It also provides members the ability to receive streaming content through a host of internet-connected devices, including TVs, digital video players, TV set-top boxes, and mobile devices. The company operates approximately in 190 countries. Netflix, Inc. was incorporated in 1997 and is headquartered in Los Gatos, California."
ORCL,Oracle Corporation,Oracle Corporation,2300 Oracle Way,,Austin,TX,78741,United States,(737) 867-1000,https://www.oracle.com,Technology,Software - Infrastructure,830290853888,920104665088,162000,USD,NYQ,67.634254,40.807262,0.68,1.46,345.72,118.86,"Oracle Corporation offers products and services that address enterprise information technology environments worldwide. Its Oracle cloud software as a service offering include various cloud software applications, including Oracle Fusion cloud enterprise resource planning ERP, Oracle Fusion cloud enterprise performance management EPM, Oracle Fusion cloud supply chain and manufacturing management SCM, Oracle Fusion cloud human capital management HCM, and NetSuite applications suite, Oracle Health a"
SAP,SAP SE,SAP  SE,Dietmar-Hopp-Allee 16,,Walldorf,,69190,Germany,49 6227 7 47474,https://www.sap.com,Technology,Software - Application,299568234496,298457530368,108929,USD,NYQ,39.502304,38.09778,0.99,0.909,313.28,217.52,"SAP SE, together with its subsidiaries, provides enterprise application and business solutions worldwide. It offers SAP S/4HANA that provides software capabilities for finance, risk and project management, procurement, manufacturing, supply chain and asset management, and research and development; SAP SuccessFactors solutions for human resources, including HR, time, payroll, talent and employee experience management, and analytics and planning; and spend management solutions that covers direct a"
ARM,Arm Holdings plc,Arm Holdings plc,110 Fulbourn Road,,Cambridge,,CB1 9NJ,United Kingdom,44 1223 400 400,https://www.arm.com,Technology,Semiconductors,159566938112,157017767936,8330,USD,NMS,228.24242,73.12621,0.0,0.0,182.88,80.0,"Arm Holdings plc architects, develops, and licenses central processing unit products and related technologies for semiconductor companies and original equipment manufacturers. The company is involved in the licensing, marketing, research, and development of microprocessors, systems intellectual property (IPs), graphics processing units, physical IP and associated systems IPs, software, tools, and other related services. It also offers arm central processing units, accelerators, system IP product"
SNOW,Snowflake Inc.,Snowflake Inc.,106 East Babcock Street,Suite 3A,Bozeman,MT,59715,United States,844 766 9355,https://www.snowflake.com,Technology,Software - Application,74925621248,74038181888,8769,USD,NYQ,0.0,237.79568,0.0,1.224,249.99,108.71,"Snowflake Inc. provides a cloud-based data platform for various organizations in the United States and internationally. The company's platform includes artificial intelligence (AI) Data Cloud, which enables customers to consolidate data into a single source of truth to drive meaningful business insights, build data applications, and share data and data products, as well as applies AI for solving business problems. It serves financial services, advertising, media and entertainment, retail and con"
SHOP,Shopify Inc.,Shopify Inc.,151 O'Connor Street,Ground floor,Ottawa,ON,K2P 2L8,Canada,613-241-2828,https://www.shopify.com,Technology,Software - Application,186445611008,181664350208,8100,USD,NMS,79.21548,77.5027,0.0,2.7,156.85,69.84,"Shopify Inc., a commerce technology company, provides tools to start, scale, market, and run a business of various sizes in Canada, the United States, Europe, the Middle East, Africa, the Asia Pacific, and Latin America. The Company offers Shopify platform that enables merchants to manage products and inventory, process orders and payments, fulfill and ship orders, build customer relationships, source products, leverage analytics, and reporting and access financing for running their business acr"
ADSK,"Autodesk, Inc.","Autodesk, Inc.",One Market Street,Suite 400,San Francisco,CA,94105,United States,415 507 5000,https://www.autodesk.com,Technology,Software - Application,67956588544,68454584320,15300,USD,NMS,66.19191,34.754356,0.0,1.495,329.09,232.67,"Autodesk, Inc. provides 3D design, engineering, and entertainment technology solutions worldwide. It offers AutoCAD Civil 3D, a surveying, design, analysis, and documentation solution; Autodesk Build, a toolset for managing, sharing, and accessing project documents for streamlined workflows between the office, trailer, and jobsite; Revit, a software built for building information modeling to help professionals design, build, and maintain energy-efficient buildings; Autodesk BIM Collaborate Pro, "
NOW,"ServiceNow, Inc.","ServiceNow, Inc.",2225 Lawson Lane,,Santa Clara,CA,95054,United States,408 501 8550,https://www.servicenow.com,Technology,Software - Application,192776863744,189053845504,26293,USD,NYQ,116.265335,55.626347,0.0,0.913,1198.09,678.66,"ServiceNow, Inc. provides cloud-based solution for digital workflows in the North America, Europe, the Middle East and Africa, Asia Pacific, and internationally. The company operates the Now platform, an AI platform for digital transformation machine learning, robotic process automation, process mining, analytics, and low-code/no-code development tools. It also provides asset management, integrated risk management, IT service management, Operational Technology management, Security Operations, st"
UBER,"Uber Technologies, Inc.","Uber Technologies, Inc.",1725 3rd Street,,San Francisco,CA,94158,United States,415 612 8582,https://www.uber.com,Technology,Software - Application,199970930688,205974798336,32700,USD,NYQ,16.335606,40.63136,0.0,1.427,97.715,59.33,"Uber Technologies, Inc. develops and operates proprietary technology applications in the United States, Canada, Latin America, Europe, the Middle East, Africa, and the Asia Pacific. It operates through three segments: Mobility, Delivery, and Freight. The Mobility segment connects consumers with a range of transportation modalities, such as ridesharing, carsharing, micromobility, rentals, public transit, taxis, and other modalities; and offers riders in a variety of vehicle types, as well as fina"
